address,price,type,bed,sqft,walk,transit,bike
"2218 Del Monte Dr, Houston, TX 77019","$4,199,999",Single family residence,5 ,"6,722",2218,2218,2218
"7902 Parnell St B, Houston, TX 77051","$314,900",Single family residence,3 ,"1,966",7902,7902,7902
"16418 Waverly Dr, Houston, TX 77032","$575,000",Multi family,3 ,796,6,24,N/A
"400 Cordell St, Houston, TX 77009","$1,000,000",Single family residence,3 ,"2,945",74,53,57
"11731 Tierra Palms Ct, Houston, TX 77034","$269,999",Single family residence,6 ,"2,400",23,10,36
"1922 Hidden Creek Dr, Humble, TX 77339","$412,500",Single family residence,5 ,"2,867",1922,1922,1922
"2209 Arabelle St A, Houston, TX 77007","$485,000",Single family residence,3 ,"2,279",2209,2209,2209
"2327 Saint Emanuel St, Houston, TX 77004","$545,000",Single family residence,4 ,"2,800",2327,2327,2327
"8114 Renmark Ln, Houston, TX 77070","$298,000",Single family residence,4 ,"2,554",8114,8114,N/A
"3001 Inwood Dr, Houston, TX 77019","$16,500,000",Single family residence,6 ,"13,630",37,45,44
"7825 Pacific Pearl St, Houston, TX 77072","$195,000",Townhouse,3 ,"1,504",7825,7825,7825
"903 Lehman St C, Houston, TX 77018","$434,900",Single family residence,3 ,"1,857",42,44,40
"903 Lehman St A, Houston, TX 77018","$434,900",Single family residence,3 ,"1,857",42,44,40
"12427 Shadowvale Dr, Houston, TX 77082","$447,000",Single family residence,4 ,"3,374",48,39,27
"17323 Dakota Ridge Dr, Houston, TX 77095","$379,000",Single family residence,5 ,"2,797",48,0,42
"4163 Wildacres Dr, Houston, TX 77072","$250,000",Single family residence,4 ,"2,208",38,31,43
"8410 Elrod St, Houston, TX 77017","$232,000",Duplex,6 ,"1,890",8410,8410,8410
"1010 Rosine St APT 201, Houston, TX 77019","$282,000",Condominium,2 ,"1,129",86,52,76
"6505 Taggart St B, Houston, TX 77007","$1,295,000",Single family residence,3 ,"3,581",61,39,53
"15018 Carols Way Dr, Houston, TX 77070","$299,999",Single family residence,4 ,"2,194",20,0,54
"814 Fisher St, Houston, TX 77018","$549,500",Duplex,4 ,"2,064",814,814,814
"13910 Hunters Cove Ct, Houston, TX 77039","$225,000",Single family residence,3 ,"1,700",3,32,28
"12003 Cyprus Fld, Houston, TX 77070","$285,000",Single family residence,3 ,"1,994",71,0,46
"3302 Mulberry Hill Ln, Houston, TX 77084","$305,000",Single family residence,4 ,"2,365",3302,3302,N/A
"1728 Park St, Houston, TX 77019","$849,000",Townhouse,3 ,"3,188",85,51,67
"3305 W Lamar St C, Houston, TX 77019","$449,000",Townhouse,3 ,"2,485",3305,3305,3305
"4514 Old Yale St C, Houston, TX 77018","$395,000",Single family residence,3 ,"1,554",48,45,71
"803 Martin Rd C, Houston, TX 77018","$439,900",Single family residence,3 ,"1,732",39,47,43
"10015 Lizette Ct, Houston, TX 77075","$450,000",Single family residence,4 ,"2,780",51,26,40
"10850 Nellsfield Ln, Houston, TX 77075","$250,000",Single family residence,3 ,"1,565",20,0,32
"2124 Carter St, Houston, TX 77008","$300,000",Single family residence,1 ,563,2124,2124,2124
"3920 Inverness Dr, Houston, TX 77019","$12,999,000",Single family residence,6 ,"11,248",3920,3920,3920
"10100 S Gessner Rd APT 703, Houston, TX 77071","$80,000",Townhouse,1 ,684,56,40,60
"6125 Gehring St, Houston, TX 77021","$319,900",Townhouse,2 ,"2,041",6125,6125,6125
"2323 Polk St APT 201, Houston, TX 77003","$274,000",Townhouse,1 ,"1,333",77,85,70
"8606 Dairy View Ln, Houston, TX 77072","$169,900",Townhouse,3 ,"1,566",8606,8606,8606
"2111 Mountain Ranch Dr, Houston, TX 77049","$249,000",Single family residence,3 ,"1,794",10,0,27
"10946 Bexley Dr 946, Houston, TX 77099","$186,666",Duplex,3 ,"1,517",10946,10946,10946
"3028 Prospect St, Houston, TX 77004","$325,000",Single family residence,3 ,"2,292",3028,3028,3028
"2910 Aspen Park Ln, Houston, TX 77084","$415,000",Single family residence,6 ,"3,601",23,0,54
"11834 Lelda Ln, Houston, TX 77071","$254,900",Single family residence,4 ,"1,820",37,41,37
"5239 Kiam St, Houston, TX 77007","$425,000",Single family residence,3 ,"1,032",57,40,68
"12018 Villa Lea Ln, Houston, TX 77071","$275,000",Single family residence,3 ,"1,939",17,44,34
"5606 Woodland Creek Dr, Kingwood, TX 77345","$400,000",Single family residence,4 ,"2,539",4,0,34
"3423 Woodbriar Dr, Houston, TX 77068","$399,900",Single family residence,5 ,"3,225",12,0,34
"18222 Wild Oak Dr, Houston, TX 77090","$235,000",Single family residence,3 ,"1,598",4,14,32
"15007 Bathurst Dr, Houston, TX 77053","$135,000",Single family residence,3 ,"1,247",35,43,35
"10718 Garrick Ln, Houston, TX 77013","$217,000",Single family residence,3 ,"1,752",36,32,65
"14826 Saint Cloud Dr, Houston, TX 77062","$289,900",Single family residence,3 ,"1,707",14,0,36
"13514 Leedwick Dr, Houston, TX 77041","$350,000",Single family residence,5 ,"2,959",19,0,28
"1122 Baymeadow Dr, Houston, TX 77062","$275,000",Single family residence,4 ,"2,086",1122,1122,1122
"2714 Owens Cross Dr, Houston, TX 77067","$245,000",Single family residence,3 ,"1,931",29,38,42
"15806 Blueridge Rd, Missouri City, TX 77489","$224,000",Single family residence,3 ,"1,444",44,N/A,39
"3626 Purple Meadow Ln, Kingwood, TX 77345","$369,000",Single family residence,4 ,"2,536",3626,N/A,3626
"11315 Old Mission Rd, Houston, TX 77095","$352,000",Single family residence,3 ,"1,802",11315,11315,N/A
"1722 Dominic Ln, Houston, TX 77049","$319,900",Single family residence,4 ,"1,896",16,0,28
"16514 Brook Forest Dr, Houston, TX 77059","$699,900",Single family residence,5 ,"4,502",9,0,57
"8803 Ballinger Dr, Houston, TX 77064","$599,000",Single family residence,5 ,"3,680",10,0,27
"1323 New Cedars Dr, Houston, TX 77062","$285,000",Single family residence,3 ,"2,204",31,0,35
"5151 Denoron Dr, Houston, TX 77048","$189,500",Single family residence,3 ,"1,102",5151,5151,5151
"733 W 21st St B, Houston, TX 77008","$585,000",Single family residence,3 ,"2,374",80,42,56
"13311 Rain Lily Ln, Houston, TX 77083","$245,000",Single family residence,3 ,"1,788",43,45,53
"5824 Willow Glen Dr, Houston, TX 77033","$100,000",Single family residence,3 ,"1,181",54,44,44
"9934 Woodwick St, Houston, TX 77016","$149,500",Single family residence,3 ,"1,083",11,34,33
"10939 E Fall Fern Cir, Houston, TX 77044","$328,000",Single family residence,4 ,"3,220",10939,10939,N/A
"18046 Bambriar Dr, Houston, TX 77090","$375,000",Single family residence,5 ,"2,732",1,0,26
"522 Lindale St, Houston, TX 77022","$165,000",Single family residence,3 ,900,522,522,522
"3226 Enclave Ln, Houston, TX 77077","$519,900",Single family residence,4 ,"3,910",60,32,53
"5303 Dana Leigh Dr, Houston, TX 77066","$364,900",Single family residence,6 ,"3,252",5303,5303,N/A
"714 Kahlden Ct, Houston, TX 77079","$695,000",Single family residence,4 ,"3,798",19,26,52
"14535 Overland Hollow Dr, Houston, TX 77069","$270,000",Single family residence,3 ,"1,415",37,31,40
"7631 White Fir Dr, Houston, TX 77088","$289,999",Single family residence,4 ,"2,565",5,32,27
"4126 Surreydon Dr, Houston, TX 77014","$259,500",Single family residence,3 ,"2,081",47,26,35
"999 Saint Clair St, Houston, TX 77088","$238,990",Single family residence,3 ,"1,298",38,45,39
"1609 W 15th St, Houston, TX 77008","$524,999",Single family residence,3 ,"2,240",1609,1609,1609
"718 Loire Ln, Houston, TX 77090","$270,000",Single family residence,4 ,"3,108",31,26,N/A
"13371 Indianapolis St A, Houston, TX 77015","$109,000",Ranch,1 ,670,59,34,49
"16714 Southern Oaks Dr, Houston, TX 77068","$2,000,000",Single family residence,4 ,"8,754",16714,16714,16714
"14102 Swiss Hill Dr, Houston, TX 77077","$368,000",Single family residence,3 ,"2,762",27,28,42
"5754 Braesheather Dr, Houston, TX 77096","$415,000",Single family residence,4 ,"2,281",46,40,58
"5631 Azores, Houston, TX 77091","$355,900",Single family residence,3 ,"1,735",4,29,26
"5635 Azores, Houston, TX 77091","$359,900",Single family residence,3 ,"1,735",4,29,26
"955 Reseda Dr, Houston, TX 77062","$247,800",Single family residence,3 ,"1,652",955,955,955
"727 Redleaf Ln, Houston, TX 77090","$310,000",Single family residence,4 ,"3,170",727,727,N/A
"1308 W 25th St UNIT C, Houston, TX 77008","$460,000",Single family residence,3 ,"1,936",24,36,54
"11527 Green Oaks Dr, Houston, TX 77024","$4,500,000",Single family residence,5 ,"8,777",11527,N/A,N/A
"5630 Azores, Houston, TX 77091","$355,900",Single family residence,3 ,"1,735",4,29,26
"1502 Saxony Ln, Houston, TX 77058","$294,900",Ranch,3 ,"1,765",50,0,42
"5139 Danfield Dr, Houston, TX 77053","$210,000",Single family residence,5 ,"3,080",25,30,34
"5611 Lodge Creek Dr, Houston, TX 77066","$279,500",Single family residence,5 ,"2,796",5611,5611,N/A
"13615 Paxton Dr, Houston, TX 77014","$206,000",Single family residence,3 ,"1,050",9,0,27
"17817 Glenmark Dr, Houston, TX 77084","$160,000",Single family residence,2 ,957,49,0,51
"242 Sulky Trail St, Houston, TX 77060","$214,000",Single family residence,4 ,"1,538",58,40,44
"4646 Larkspur St, Houston, TX 77051","$379,000",Single family residence,4 ,"2,507",4646,4646,4646
"2120 Alabama St, Houston, TX 77004","$344,900",Single family residence,4 ,"2,145",77,56,81
"10706 Bordley Dr, Houston, TX 77042","$699,900",Single family residence,4 ,"3,247",30,34,53
"4214 Browns Forest Dr, Houston, TX 77084","$370,000",Single family residence,4 ,"2,607",13,0,31
"6150 Chevy Chase Dr, Houston, TX 77057","$775,000",Single family residence,4 ,"3,192",61,44,48
"8125 Fuqua Ct, Houston, TX 77075","$275,000",Single family residence,3 ,"1,569",39,0,38
"14919 James River Ln, Houston, TX 77084","$259,000",Single family residence,3 ,"1,975",14919,14919,14919
"15918 Colonial Bridge Ln, Houston, TX 77073","$219,900",Single family residence,3 ,"1,338",5,27,26
"1127 Hammock St, Houston, TX 77009","$319,000",Single family residence,3 ,"1,266",74,64,61
"903 Lehman St, Houston, TX 77018","$444,900",Single family residence,3 ,"1,951",42,44,40
"903 Lehman St F, Houston, TX 77018","$444,900",Single family residence,3 ,"1,951",42,44,40
"4783 Summit St, Houston, TX 77018","$439,900",Single family residence,3 ,"1,732",45,48,49
"2317 Wroxton Rd, Houston, TX 77005","$770,000",Single family residence,3 ,"1,857",2317,2317,2317
"2110 Hickory Lawn Dr, Houston, TX 77077","$325,000",Single family residence,4 ,"2,552",49,42,54
"1225 Nicholson St, Houston, TX 77008","$1,050,000",Single family residence,3 ,"2,404",80,42,61
"14410 Providence Pine Trl, Houston, TX 77062","$323,000",Single family residence,4 ,"2,146",14410,14410,14410
"16306 Scotch Hollow Ln, Houston, TX 77083","$285,000",Single family residence,4 ,"1,853",16306,16306,N/A
"11014 Leitrim Way, Houston, TX 77047","$155,000",Ranch,2 ,"1,642",24,39,47
"7828 Pardee St, Houston, TX 77028","$295,000",Single family residence,3 ,"1,364",14,28,22
"503 Timber Terrace Rd, Houston, TX 77024","$1,799,000",Single family residence,4 ,"4,628",503,503,503
"2822 Youpon Lake Ct, Houston, TX 77084","$300,000",Single family residence,4 ,"2,368",30,0,57
"340 W 17th St, Houston, TX 77008","$1,295,000",Single family residence,3 ,"2,622",340,340,340
"4303 Tidewater Dr, Houston, TX 77045","$160,000",Single family residence,4 ,"2,222",34,31,49
"6306 Jefferson St, Houston, TX 77023","$629,900",Single family residence,3 ,"2,151",60,47,61
"2721 Maxroy St, Houston, TX 77007","$649,900",Single family residence,4 ,"2,675",29,39,37
"4512 Old Yale St B, Houston, TX 77018","$409,900",Single family residence,3 ,"1,541",54,47,71
"6410 Tam O Shanter Ln, Houston, TX 77036","$435,000",Single family residence,4 ,"3,329",64,48,53
"3502 Tree Ln, Humble, TX 77339","$421,900",Single family residence,5 ,"3,225",20,0,47
"12915 Memorial Dr, Houston, TX 77079","$600,000",Single family residence,3 ,"2,419",75,33,52
"1842 Palm St, Houston, TX 77004","$414,990",Single family residence,4 ,"2,607",1842,1842,1842
"2444 Charleston St UNIT C, Houston, TX 77021","$509,000",Single family residence,3 ,"2,436",2444,2444,2444
"12531 Orleans St, Houston, TX 77015","$199,900",Single family residence,3 ,"1,534",59,32,46
"919 Shirkmere Rd, Houston, TX 77008","$1,379,900",Single family residence,4 ,"3,974",919,919,919
"1910 Windy Peaks Ct, Houston, TX 77067","$250,000",Single family residence,3 ,"2,861",8,0,29
"7209 Sayers St, Houston, TX 77016","$314,400",Single family residence,3 ,"1,611",29,43,38
"11342 Oakcenter Dr, Houston, TX 77072","$200,000",Single family residence,3 ,"1,523",11342,11342,11342
"12 Champions Bend Cir, Houston, TX 77069","$650,000",Single family residence,4 ,"3,770",12,12,N/A
"11903 Edgar St, Houston, TX 77047","$105,900",Ranch,3 ,"1,466",11903,11903,11903
"8906 Sable Terrace Ln, Houston, TX 77044","$340,000",Single family residence,4 ,"2,063",42,0,35
"17831 Butte Creek Rd, Houston, TX 77090","$314,900",Single family residence,4 ,"2,467",11,0,30
"16814 Laguna Springs Dr, Houston, TX 77095","$350,000",Single family residence,3 ,"2,620",16814,16814,N/A
"202 Ogilvie St, Houston, TX 77017","$489,900",Single family residence,5 ,"3,300",32,23,34
"14022 White Heather Dr, Houston, TX 77045","$189,900",Single family residence,3 ,"1,480",14022,14022,14022
"12715 Watercress Park, Houston, TX 77041","$384,900",Single family residence,4 ,"2,700",28,0,33
"12030 E Circle Dr, Houston, TX 77071","$599,999",Single family residence,4 ,"4,875",14,45,29
"4711 Theall Rd, Houston, TX 77066","$249,000",Single family residence,4 ,"2,330",66,33,49
"18210 Caprice Ln, Houston, TX 77058","$359,900",Single family residence,3 ,"2,065",44,0,35
"2811 Creek Manor Dr, Humble, TX 77339","$315,000",Single family residence,4 ,"2,212",2811,2811,2811
"1602 Anvil Dr, Houston, TX 77090","$350,000",Single family residence,5 ,"3,842",1602,1602,N/A
"2919 Travick Ln, Houston, TX 77073","$241,700",Single family residence,4 ,"2,453",2919,2919,N/A
"11923 Greensbrook Forest Dr, Houston, TX 77044","$160,000",Single family residence,3 ,"1,080",3,0,29
"18814 Appletree Hill Ln, Houston, TX 77084","$289,500",Single family residence,4 ,"2,106",18814,18814,N/A
"12223 Drifting Pine Ct, Houston, TX 77066","$244,000",Single family residence,3 ,"2,093",13,34,41
"16022 Coco Shores Ct, Houston, TX 77044","$314,900",Single family residence,3 ,"2,206",3,0,28
"16006 Garden Hill Ln, Houston, TX 77095","$350,000",Single family residence,4 ,"2,421",19,0,35
"655 Langwood Dr, Houston, TX 77079","$450,000",Single family residence,5 ,"2,791",46,30,70
"13802 Hambleton Dr, Houston, TX 77069","$462,000",Single family residence,4 ,"3,074",13802,13802,13802
"8027 Albin Ln, Houston, TX 77071","$549,900",Single family residence,5 ,"5,172",49,42,44
"14907 Arvonshire Ct, Houston, TX 77049","$399,000",Single family residence,5 ,"3,395",14907,14907,14907
"4419 Trafalgar Dr, Houston, TX 77045","$244,900",Single family residence,3 ,"1,622",45,38,43
"5303 Spanish Oak Dr, Houston, TX 77066","$559,900",Single family residence,7 ,"5,152",26,23,34
"13550 Creek Springs Dr, Houston, TX 77083","$244,900",Single family residence,3 ,"1,742",43,49,52
"4105 Lumber Ln, Houston, TX 77016","$235,000",Single family residence,3 ,"1,280",35,49,36
"11907 Greencreek Cir, Houston, TX 77070","$314,900",Single family residence,4 ,"2,198",43,0,41
"8418 Bird Run Dr, Missouri City, TX 77489","$134,000",Single family residence,3 ,"1,550",15,N/A,27
"2906 S Druid St, Houston, TX 77091","$165,000",Single family residence,3 ,"1,728",20,23,30
"3702 Blue Meadow Ln, Houston, TX 77039","$199,000",Single family residence,4 ,"1,349",46,34,35
"1718 Kilmory Ct, Houston, TX 77014","$249,000",Single family residence,4 ,"1,538",3,23,26
"5510 Triway Ln, Houston, TX 77041","$297,000",Single family residence,4 ,"1,600",32,34,36
"7705 Edna St, Houston, TX 77087","$320,000",Single family residence,5 ,"1,752",64,40,57
"16331 Brookside Willow Ln, Houston, TX 77084","$380,000",Single family residence,5 ,"3,385",27,0,32
"10834 Great Bridge Dr, Houston, TX 77065","$279,900",Single family residence,4 ,"2,168",33,0,38
"2409 Dalview St, Houston, TX 77091","$365,000",Single family residence,4 ,"1,848",22,25,31
"305 Reinerman St, Houston, TX 77007","$499,800",Single family residence,3 ,"2,528",79,48,60
"14411 Wadebridge Way, Houston, TX 77015","$308,000",Single family residence,3 ,"1,851",58,0,43
"11902 Rocky Knoll Dr, Houston, TX 77077","$338,000",Single family residence,3 ,"1,739",47,41,55
"13810 Turning Spring Ln, Houston, TX 77044","$389,900",Ranch,5 ,"2,899",3,0,28
"8826 Eastheimer St, Houston, TX 77064","$255,000",Single family residence,4 ,"2,030",29,0,36
"10502 Bucknell Rd, Houston, TX 77016","$239,999",Single family residence,4 ,"1,372",28,29,43
"11246 Sagecanyon Dr, Houston, TX 77089","$249,900",Single family residence,3 ,"1,801",14,23,30
"5211 Winding Way Dr, Houston, TX 77091","$250,000",Single family residence,4 ,"2,463",29,35,58
"16919 Summer Dew Ln, Houston, TX 77095","$272,500",Single family residence,3 ,"1,645",52,0,N/A
"2003 Hidden Creek Dr, Humble, TX 77339","$300,000",Single family residence,4 ,"2,241",35,0,40
"13138 Newbrook Dr, Houston, TX 77072","$219,000",Single family residence,3 ,"1,872",56,42,45
"5419 Chapel Brook Dr, Houston, TX 77069","$765,000",Single family residence,5 ,"5,134",28,0,N/A
"5622 Ludington Dr, Houston, TX 77035","$274,900",Ranch,4 ,"2,035",37,39,40
"3719 Sweetgum Hill Ln, Kingwood, TX 77345","$325,000",Single family residence,4 ,"2,542",3719,N/A,3719
"7127 Airport Blvd, Houston, TX 77061","$495,000",Single family residence,3 ,"1,896",8,20,32
"10107 Burgoyne Rd, Houston, TX 77042","$649,900",Single family residence,3 ,"2,121",10107,10107,10107
"9255 Friendship Rd, Houston, TX 77080","$299,900",Single family residence,3 ,"1,762",59,33,54
"12261 Oxford Crescent Cir, Houston, TX 77082","$385,000",Single family residence,4 ,"2,341",73,46,58
"9715 Stonecross Bend Dr, Houston, TX 77070","$2,925,000",Single family residence,6 ,"10,636",9715,9715,N/A
"15806 La Avenida Dr, Houston, TX 77062","$279,900",Single family residence,4 ,"1,880",73,0,53
"2003 Sunshine Point Dr, Kingwood, TX 77345","$550,000",Single family residence,5 ,"3,942",2,0,28
"5715 Lycomb Dr, Houston, TX 77053","$196,000",Single family residence,3 ,"1,070",5715,5715,5715
"5523 Pebble Springs Dr, Houston, TX 77066","$364,900",Single family residence,6 ,"3,484",53,28,42
"5636 Azores, Houston, TX 77091","$369,900",Single family residence,3 ,"1,735",4,29,26
"950 Fisher Dr E, Houston, TX 77018","$482,900",Single family residence,3 ,"2,177",54,38,60
"426 Middle St, Houston, TX 77003","$490,000",Single family residence,2 ,924,62,54,78
"407 Remington Ridge Dr, Houston, TX 77073","$250,000",Single family residence,3 ,"2,308",13,31,28
"5621 Azores, Houston, TX 77091","$369,900",Single family residence,3 ,"1,735",4,29,26
"950 Fisher Dr D, Houston, TX 77018","$479,900",Single family residence,3 ,"2,177",54,38,60
"16811 Waycreek Rd, Houston, TX 77068","$484,900",Single family residence,6 ,"4,440",24,0,33
"2143 River Village Dr, Humble, TX 77339","$249,000",Single family residence,3 ,"1,512",2143,2143,2143
"15127 Manorhill Dr, Houston, TX 77062","$319,999",Single family residence,5 ,"2,508",45,0,44
"15103 Prairie Rose Dr, Houston, TX 77070","$288,000",Single family residence,3 ,"1,955",15103,15103,N/A
"14522 Redbud Valley Trl, Houston, TX 77062","$344,900",Single family residence,5 ,"2,471",41,0,34
"1416 Arlington St, Houston, TX 77008","$1,549,000",Single family residence,4 ,"3,388",66,48,64
"5431 Cuerta St, Houston, TX 77023","$339,900",Single family residence,3 ,"1,795",62,48,60
"106 Robmore St, Houston, TX 77076","$295,000",Single family residence,4 ,"1,650",106,106,106
"943 Crestbrook Dr, Houston, TX 77038","$239,900",Single family residence,4 ,"1,530",40,27,39
"12111 Creekhurst Dr, Houston, TX 77099","$299,000",Single family residence,3 ,"2,309",12111,12111,12111
"4212 Old Spanish Trl, Houston, TX 77021","$324,900",Single family residence,3 ,"1,921",4212,4212,4212
"901 Lehman St B, Houston, TX 77018","$434,900",Single family residence,3 ,"1,857",901,901,901
"8446 Springtime Ln, Houston, TX 77075","$219,000",Single family residence,3 ,"1,361",41,0,39
"15242 Garrett Rd, Houston, TX 77044","$475,000",Single family residence,4 ,"3,230",0,0,25
"809 Knox St, Houston, TX 77007","$775,000",Single family residence,4 ,"3,205",809,809,809
"5633 Azores, Houston, TX 77091","$359,900",Single family residence,3 ,"1,735",4,29,26
"7815 Prestwood Dr, Houston, TX 77036","$359,900",Single family residence,4 ,"2,055",51,46,55
"8518 Clarewood Dr, Houston, TX 77036","$375,000",Single family residence,5 ,"2,574",65,47,57
"518 E Lorino St, Houston, TX 77037","$198,000",Single family residence,3 ,"1,350",22,38,34
"16635 Shorewood Lakes Dr, Houston, TX 77095","$262,000",Single family residence,3 ,"1,440",19,0,31
"5538 Honor Dr, Houston, TX 77041","$600,000",Single family residence,5 ,"3,985",33,0,36
"5911 Saddle Bred Dr, Houston, TX 77084","$289,000",Single family residence,4 ,"2,263",5911,5911,N/A
"10910 Hoffer St, Houston, TX 77075","$209,900",Single family residence,3 ,"1,272",64,0,47
"12703 Pebblebrook Dr, Houston, TX 77024","$945,000",Single family residence,5 ,"4,319",72,41,51
"5602 Ballina Canyon Ln, Houston, TX 77041","$599,999",Single family residence,5 ,"3,926",5602,5602,N/A
"11231 Sageview Dr, Houston, TX 77089","$239,000",Single family residence,3 ,"1,858",53,28,45
"14244 Oak Chase Dr, Houston, TX 77062","$287,000",Single family residence,3 ,"1,540",14244,14244,14244
"5620 Azores, Houston, TX 77091","$359,900",Single family residence,3 ,"1,827",4,29,26
"5618 Azores, Houston, TX 77091","$355,900",Single family residence,3 ,"1,827",4,29,26
"6906 Russelfield Ln, Houston, TX 77049","$385,000",Single family residence,4 ,"3,575",6906,6906,N/A
"8145 Easton St, Houston, TX 77017","$304,999",Single family residence,4 ,"1,635",50,35,47
"10706 Carlota Ct, Houston, TX 77096","$448,880",Ranch,3 ,"1,800",10706,10706,10706
"1722 River Oaks Blvd, Houston, TX 77019","$20,000,000",Single family residence,5 ,"12,209",32,43,40
"9511 Chalford Dr, Houston, TX 77083","$265,000",Single family residence,3 ,"1,886",54,0,47
"10919 Berry Tree Dr, Houston, TX 77064","$230,000",Single family residence,3 ,"1,440",48,0,41
"5627 Azores, Houston, TX 77091","$355,900",Single family residence,3 ,"1,735",4,29,26
"9518 Kindletree Dr, Houston, TX 77040","$185,000",Single family residence,3 ,"2,151",40,0,55
"147 Greyfriar Dr, Houston, TX 77037","$229,000",Single family residence,3 ,"1,503",30,36,52
"2830 Maybrook Hollow Ln, Houston, TX 77047","$299,900",Single family residence,4 ,"2,360",2830,2830,N/A
"4514 Old Yale St D, Houston, TX 77018","$395,000",Single family residence,3 ,"1,554",54,47,71
"12607 Chandlers Way Dr, Houston, TX 77041","$460,000",Single family residence,4 ,"2,860",26,0,32
"4507 Sweet Madeline Ln, Houston, TX 77018","$1,350,000",Single family residence,4 ,"4,159",14,30,55
"5814 Cebra Rd, Houston, TX 77091","$384,900",Single family residence,3 ,"1,842",7,32,28
"18834 Appletree Hill Ln, Houston, TX 77084","$299,000",Single family residence,4 ,"2,032",9,0,N/A
"2105 Pueblito Dr, Houston, TX 77077","$449,990",Single family residence,3 ,"2,008",72,45,62
"4514 Old Yale St B, Houston, TX 77018","$395,000",Single family residence,3 ,"1,554",54,47,71
"1906 Laurel Springs Ln, Humble, TX 77339","$339,900",Single family residence,4 ,"2,110",27,0,35
"412 W 26th St, Houston, TX 77008","$874,900",Single family residence,5 ,"3,328",412,412,412
"18926 Crescent Bay Dr, Houston, TX 77094","$1,049,000",Single family residence,4 ,"4,549",1,0,28
"204 Stratford St, Houston, TX 77006","$1,400,000",Single family residence,5 ,"3,409",204,204,204
"40 Stillforest St, Houston, TX 77024","$7,990,000",Single family residence,6 ,"12,617",40,40,N/A
"14819 Twin Maple St, Houston, TX 77082","$410,000",Single family residence,5 ,"3,360",62,22,43
"14531 Dartwood Dr, Houston, TX 77049","$139,900",Single family residence,3 ,"1,457",9,0,32
"1818 Upland Lakes, Houston, TX 77043","$675,000",Single family residence,4 ,"3,670",19,29,46
"214 Canadian St, Houston, TX 77009","$439,000",Single family residence,4 ,"1,934",68,57,74
"3703 Rustic Haven Ct, Kingwood, TX 77345","$354,900",Single family residence,4 ,"2,857",5,0,32
"19527 Richland Springs Dr, Houston, TX 77073","$205,000",Single family residence,3 ,"1,392",19527,19527,N/A
"4510 Old Yale St B, Houston, TX 77018","$385,900",Single family residence,3 ,"1,463",54,47,71
"5338 Hidalgo St, Houston, TX 77056","$619,999",Single family residence,3 ,"3,014",5338,5338,5338
"16615 Rosillion Ct, Houston, TX 77095","$589,000",Single family residence,4 ,"4,025",16,0,N/A
"903 Lehman St D, Houston, TX 77018","$434,900",Single family residence,3 ,"1,857",42,44,40
"902 Cordell St A, Houston, TX 77009","$975,000",Single family residence,5 ,"3,009",63,57,73
"3614 Canvasback Ln, Houston, TX 77047","$270,000",Single family residence,3 ,"1,658",16,0,40
"906 Pear Tree Ln, Houston, TX 77073","$230,000",Single family residence,3 ,"2,101",22,35,33
"4512 Old Yale St A, Houston, TX 77018","$399,900",Single family residence,3 ,"1,541",54,47,71
"14911 Indian Quail Cir, Houston, TX 77095","$299,000",Single family residence,4 ,"2,282",34,0,40
"11117 Beinhorn Rd, Houston, TX 77024","$6,300,000",Single family residence,9 ,"15,148",37,25,37
"250 W Spreading Oak Dr, Houston, TX 77076","$258,000",Single family residence,4 ,"1,611",42,43,41
"2507 Shakespeare St C, Houston, TX 77030","$897,000",Single family residence,3 ,"2,353",2507,2507,2507
"5415 Cairnleigh Dr, Houston, TX 77084","$255,000",Single family residence,3 ,"1,828",13,0,32
"1926 Cochran St, Houston, TX 77009","$409,900",Single family residence,3 ,"1,695",72,55,62
"16915 Waycreek Rd, Houston, TX 77068","$275,000",Single family residence,4 ,"3,318",24,0,33
"3223 Boxelder Dr, Houston, TX 77082","$279,999",Single family residence,3 ,"1,963",46,29,39
"2015 King St, Houston, TX 77026","$165,000",Single family residence,2 ,"1,308",14,40,31
"4103 Donna Lynn Dr, Houston, TX 77092","$299,999",Ranch,3 ,"1,714",31,39,58
"328 E 39th St, Houston, TX 77018","$575,000",Single family residence,3 ,"2,133",328,328,328
"9233 Forest View St, Houston, TX 77078","$179,500",Ranch,3 ,"1,332",24,36,60
"1422 Willow Rock Rd, Houston, TX 77088","$199,999",Single family residence,3 ,"1,038",26,34,44
"16430 Regal Exeter Dr, Houston, TX 77073","$279,000",Single family residence,4 ,"2,092",37,20,36
"4510 Old Yale St A, Houston, TX 77018","$395,900",Single family residence,3 ,"1,468",54,47,71
"23 Forest Course Cir, Humble, TX 77339","$774,990",Single family residence,4 ,"3,713",22,N/A,31
"10618 Duane St, Houston, TX 77047","$166,000",Single family residence,3 ,882,46,36,52
"10127 White Oak Trail Ln, Houston, TX 77064","$449,999",Single family residence,5 ,"4,107",36,0,31
"7918 Battleoak Dr, Houston, TX 77040","$269,995",Single family residence,3 ,"1,161",8,0,28
"9230 Arvin St, Houston, TX 77028","$225,000",Single family residence,4 ,"1,520",46,43,45
"13602 Mansor Dr, Houston, TX 77041","$365,000",Single family residence,4 ,"2,728",43,0,40
"3031 Poplar Valley Way, Kingwood, TX 77345","$514,900",Single family residence,4 ,"2,858",33,0,33
